group,name,units,upperLimit,lowerLimit,relaxedUpperLimit,relaxedLowerLimit
MP,ctrlboard_soft_version,mV,1000,200,,
MP,cctrboard_hardware_version,mV,1000,200,,
MP,testboard_id,mV,1000,200,,
MP,testboard_soft_version,mV,1000,200,,
MP,testboard_hardware_version,mV,1000,200,,
MP,GND/J0300.19-J0300.20,mV,1000,200,,
MP,GND/J0300.20-J0300.21,mV,1000,200,,
MP,GND/J0300.21-J0300.22,mV,1000,200,,
MP,GND/J0300.19-WP0201,mV,1000,200,,
MP,LISA_TO_PMU_BTN_L/J0300.14-WP0200,mV,1000,200,,
MP,WP0200,mV,1000,200,,
MP,WP0202,mV,1000,200,,
MP,WP0201,mV,1000,200,,
MP,BERLIN_SNS_CH0_CONN,mV,1000,200,,
MP,BERLIN_SNS_CH1_CONN,mV,1000,200,,
MP,BERLIN_SNS_CH2_CONN,mV,1000,200,,
MP,BERLIN_SNS_CH3_CONN,mV,1000,200,,
MP,BERLIN_SNS_CH4_CONN,mV,1000,200,,
MP,BERLIN_SNS_CH5_CONN,mV,1000,200,,
MP,BERLIN_SNS_CH6_CONN,mV,1000,200,,
MP,BERLIN_SNS_CH7_CONN,mV,1000,200,,
MP,PP1V85_SLEEP2_BONN_AVDD_CONN,mV,1000,200,,
MP,BONN_VSS_CONN,mV,1000,200,,
MP,BERLIN_LED_CATHODE_CONN,mV,1000,200,,
MP,BONN_AOPRT_TO_BERLIN_PD_ON_CONN,mV,1000,200,,
MP,BERLIN_LED_ANODE_CONN,mV,1000,200,,
MP,PN1V6_CARNELIAN_MARGE_CONN,mV,1000,200,,
MP,PP1V6_CARNELIAN_MARGE_CONN,mV,1000,200,,
MP,AOP_TO_MARGE_PTIMER_TOC_CONN,mV,1000,200,,
MP,MARGE_SIG_CONN,mV,1000,200,,
MP,LISA_TO_PMU_BTN_L,mV,1000,200,,
MP,D_U0202_RX0,mV,1000,200,,
MP,D_U0202_RX1,mV,1000,200,,
MP,D_U0202_RX2,mV,1000,200,,
MP,D_U0202_RX3,mV,1000,200,,
MP,D_U0202_RX4,mV,1000,200,,
MP,D_U0202_RX5,mV,1000,200,,
MP,D_U0202_RX6,mV,1000,200,,
MP,D_U0202_RX7,mV,1000,200,,
MP,D_U0202_ENA,mV,1000,200,,
MP,D_U0202_VDD,mV,1000,200,,
MP,ESD_DZ0201+,mV,1000,200,,
MP,ESD_DZ0201-,mV,1000,200,,
MP,STL,mV,1000,200,,
MP,C0209,mV,1000,200,,
MP,C0202,mV,1000,200,,
MP,C0204,mV,1000,200,,
MP,CF_SIG_VOUT_P,mV,1000,200,,
MP,CF_SIG_VOUT_N,mV,1000,200,,
MP,CF_SIG_VOUT_I,mV,1000,200,,
MP,IRLED_Vforward,mV,1000,200,,
MP,set_lisa_power(on),mV,1000,200,,
MP,set_lisa_pd_connect(on),mV,1000,200,,
MP,set_lisa_pd(on),mV,1000,200,,
MP,set_lisa_connect(on),mV,1000,200,,
MP,"set_lisa_sample(4096,1)",mV,1000,200,,
MP,one_get_lisa_raw_data(0x01),mV,1000,200,,
MP,one_get_lisa_stats_data(0x01),mV,1000,200,,
MP,one_get_lisa_stats_data(0x01)_average,mV,1000,200,,
MP,one_get_lisa_stats_data(0x01)_rms,mV,1000,200,,
MP,one_get_lisa_stats_data(0x01)_std,mV,1000,200,,
MP,one_get_lisa_stats_data(0x01)_vpp,mV,1000,200,,
MP,one_get_lisa_stats_data(0x01)_max,mV,1000,200,,
MP,one_get_lisa_stats_data(0x01)_min,mV,1000,200,,
MP,one_get_lisa_raw_data(0x02),mV,1000,200,,
MP,one_get_lisa_stats_data(0x02),mV,1000,200,,
MP,one_get_lisa_stats_data(0x02)_average,mV,1000,200,,
MP,one_get_lisa_stats_data(0x02)_rms,mV,1000,200,,
MP,one_get_lisa_stats_data(0x02)_std,mV,1000,200,,
MP,one_get_lisa_stats_data(0x02)_vpp,mV,1000,200,,
MP,one_get_lisa_stats_data(0x02)_max,mV,1000,200,,
MP,one_get_lisa_stats_data(0x02)_min,mV,1000,200,,
MP,one_get_lisa_raw_data(0x03),mV,1000,200,,
MP,one_get_lisa_stats_data(0x03),mV,1000,200,,
MP,one_get_lisa_stats_data(0x03)_average,mV,1000,200,,
MP,one_get_lisa_stats_data(0x03)_rms,mV,1000,200,,
MP,one_get_lisa_stats_data(0x03)_std,mV,1000,200,,
MP,one_get_lisa_stats_data(0x03)_vpp,mV,1000,200,,
MP,one_get_lisa_stats_data(0x03)_max,mV,1000,200,,
MP,one_get_lisa_stats_data(0x03)_min,mV,1000,200,,
MP,one_get_lisa_raw_data(0x04),mV,1000,200,,
MP,one_get_lisa_stats_data(0x04),mV,1000,200,,
MP,one_get_lisa_stats_data(0x04)_average,mV,1000,200,,
MP,one_get_lisa_stats_data(0x04)_rms,mV,1000,200,,
MP,one_get_lisa_stats_data(0x04)_std,mV,1000,200,,
MP,one_get_lisa_stats_data(0x04)_vpp,mV,1000,200,,
MP,one_get_lisa_stats_data(0x04)_max,mV,1000,200,,
MP,one_get_lisa_stats_data(0x04)_min,mV,1000,200,,
MP,one_get_lisa_raw_data(0x05),mV,1000,200,,
MP,one_get_lisa_stats_data(0x05),mV,1000,200,,
MP,one_get_lisa_stats_data(0x05)_average,mV,1000,200,,
MP,one_get_lisa_stats_data(0x05)_rms,mV,1000,200,,
MP,one_get_lisa_stats_data(0x05)_std,mV,1000,200,,
MP,one_get_lisa_stats_data(0x05)_vpp,mV,1000,200,,
MP,one_get_lisa_stats_data(0x05)_max,mV,1000,200,,
MP,one_get_lisa_stats_data(0x05)_min,mV,1000,200,,
MP,one_get_lisa_raw_data(0x06),mV,1000,200,,
MP,one_get_lisa_stats_data(0x06),mV,1000,200,,
MP,one_get_lisa_stats_data(0x06)_average,mV,1000,200,,
MP,one_get_lisa_stats_data(0x06)_rms,mV,1000,200,,
MP,one_get_lisa_stats_data(0x06)_std,mV,1000,200,,
MP,one_get_lisa_stats_data(0x06)_vpp,mV,1000,200,,
MP,one_get_lisa_stats_data(0x06)_max,mV,1000,200,,
MP,one_get_lisa_stats_data(0x06)_min,mV,1000,200,,
MP,one_get_lisa_raw_data(0x07),mV,1000,200,,
MP,one_get_lisa_stats_data(0x07),mV,1000,200,,
MP,one_get_lisa_stats_data(0x07)_average,mV,1000,200,,
MP,one_get_lisa_stats_data(0x07)_rms,mV,1000,200,,
MP,one_get_lisa_stats_data(0x07)_std,mV,1000,200,,
MP,one_get_lisa_stats_data(0x07)_vpp,mV,1000,200,,
MP,one_get_lisa_stats_data(0x07)_max,mV,1000,200,,
MP,one_get_lisa_stats_data(0x07)_min,mV,1000,200,,
MP,one_get_lisa_raw_data(0x08),mV,1000,200,,
MP,one_get_lisa_stats_data(0x08),mV,1000,200,,
MP,one_get_lisa_stats_data(0x08)_average,mV,1000,200,,
MP,one_get_lisa_stats_data(0x08)_rms,mV,1000,200,,
MP,one_get_lisa_stats_data(0x08)_std,mV,1000,200,,
MP,one_get_lisa_stats_data(0x08)_vpp,mV,1000,200,,
MP,one_get_lisa_stats_data(0x08)_max,mV,1000,200,,
MP,one_get_lisa_stats_data(0x08)_min,mV,1000,200,,
MP,"set_lisa_sample(4096,1)",mV,1000,200,,
MP,two_get_lisa_stats_data(0x01)_average,mV,1000,200,,
MP,two_get_lisa_stats_data(0x01)_rms,mV,1000,200,,
MP,two_get_lisa_stats_data(0x01)_std,mV,1000,200,,
MP,two_get_lisa_stats_data(0x01)_vpp,mV,1000,200,,
MP,two_get_lisa_stats_data(0x01)_max,mV,1000,200,,
MP,two_get_lisa_stats_data(0x01)_min,mV,1000,200,,
MP,two_get_lisa_raw_data(0x02),mV,1000,200,,
MP,two_get_lisa_stats_data(0x02),mV,1000,200,,
MP,two_get_lisa_stats_data(0x02)_average,mV,1000,200,,
MP,two_get_lisa_stats_data(0x02)_rms,mV,1000,200,,
MP,two_get_lisa_stats_data(0x02)_std,mV,1000,200,,
MP,two_get_lisa_stats_data(0x02)_vpp,mV,1000,200,,
MP,two_get_lisa_stats_data(0x02)_max,mV,1000,200,,
MP,two_get_lisa_stats_data(0x02)_min,mV,1000,200,,
MP,two_get_lisa_raw_data(0x03),mV,1000,200,,
MP,two_get_lisa_stats_data(0x03),mV,1000,200,,
MP,two_get_lisa_stats_data(0x03)_average,mV,1000,200,,
MP,two_get_lisa_stats_data(0x03)_rms,mV,1000,200,,
MP,two_get_lisa_stats_data(0x03)_std,mV,1000,200,,
MP,two_get_lisa_stats_data(0x03)_vpp,mV,1000,200,,
MP,two_get_lisa_stats_data(0x03)_max,mV,1000,200,,
MP,two_get_lisa_stats_data(0x03)_min,mV,1000,200,,
MP,two_get_lisa_raw_data(0x04),mV,1000,200,,
MP,two_get_lisa_stats_data(0x04),mV,1000,200,,
MP,two_get_lisa_stats_data(0x04)_average,mV,1000,200,,
MP,two_get_lisa_stats_data(0x04)_rms,mV,1000,200,,
MP,two_get_lisa_stats_data(0x04)_std,mV,1000,200,,
MP,two_get_lisa_stats_data(0x04)_vpp,mV,1000,200,,
MP,two_get_lisa_stats_data(0x04)_max,mV,1000,200,,
MP,two_get_lisa_stats_data(0x04)_min,mV,1000,200,,
MP,two_get_lisa_raw_data(0x05),mV,1000,200,,
MP,two_get_lisa_stats_data(0x05),mV,1000,200,,
MP,two_get_lisa_stats_data(0x05)_average,mV,1000,200,,
MP,two_get_lisa_stats_data(0x05)_rms,mV,1000,200,,
MP,two_get_lisa_stats_data(0x05)_std,mV,1000,200,,
MP,two_get_lisa_stats_data(0x05)_vpp,mV,1000,200,,
MP,two_get_lisa_stats_data(0x05)_max,mV,1000,200,,
MP,two_get_lisa_stats_data(0x05)_min,mV,1000,200,,
MP,two_get_lisa_raw_data(0x06),mV,1000,200,,
MP,two_get_lisa_stats_data(0x06),mV,1000,200,,
MP,two_get_lisa_stats_data(0x06)_average,mV,1000,200,,
MP,two_get_lisa_stats_data(0x06)_rms,mV,1000,200,,
MP,two_get_lisa_stats_data(0x06)_std,mV,1000,200,,
MP,two_get_lisa_stats_data(0x06)_vpp,mV,1000,200,,
MP,two_get_lisa_stats_data(0x06)_max,mV,1000,200,,
MP,two_get_lisa_stats_data(0x06)_min,mV,1000,200,,
MP,two_get_lisa_raw_data(0x07),mV,1000,200,,
MP,two_get_lisa_stats_data(0x07),mV,1000,200,,
MP,two_get_lisa_stats_data(0x07)_average,mV,1000,200,,
MP,two_get_lisa_stats_data(0x07)_rms,mV,1000,200,,
MP,two_get_lisa_stats_data(0x07)_std,mV,1000,200,,
MP,two_get_lisa_stats_data(0x07)_vpp,mV,1000,200,,
MP,two_get_lisa_stats_data(0x07)_max,mV,1000,200,,
MP,two_get_lisa_stats_data(0x07)_min,mV,1000,200,,
MP,two_get_lisa_raw_data(0x08),mV,1000,200,,
MP,two_get_lisa_stats_data(0x08),mV,1000,200,,
MP,two_get_lisa_stats_data(0x08)_average,mV,1000,200,,
MP,two_get_lisa_stats_data(0x08)_rms,mV,1000,200,,
MP,two_get_lisa_stats_data(0x08)_std,mV,1000,200,,
MP,two_get_lisa_stats_data(0x08)_vpp,mV,1000,200,,
MP,two_get_lisa_stats_data(0x08)_max,mV,1000,200,,
MP,two_get_lisa_stats_data(0x08)_min,mV,1000,200,,
MP,set_lisa_connect(off),mV,1000,200,,
MP,set_lisa_pd(off),mV,1000,200,,
MP,set_lisa_pd_connect(off),mV,1000,200,,
MP,"set_lisa_current(0.0,5)",mV,1000,200,,
MP,set_lisa_led(off),mV,1000,200,,
MP,set_lisa_power(off),mV,1000,200,,
MP,ctrl_turn_whilte Card,mV,1000,200,,
MP,set_lisa_power(on),mV,1000,200,,
MP,set_lisa_led(on),mV,1000,200,,
MP,"set_lisa_current(1.0,5)",mV,1000,200,,
MP,set_lisa_pd_connect(on),mV,1000,200,,
MP,set_lisa_pd(on),mV,1000,200,,
MP,set_lisa_connect(on),mV,1000,200,,
MP,"set_lisa_sample(4096,1)",mV,1000,200,,
MP,three_get_lisa_raw_data(0x01),mV,1000,200,,
MP,three_get_lisa_stats_data(0x01),mV,1000,200,,
MP,three_get_lisa_stats_data(0x01)_average,mV,1000,200,,
MP,three_get_lisa_stats_data(0x01)_rms,mV,1000,200,,
MP,three_get_lisa_stats_data(0x01)_std,mV,1000,200,,
MP,three_get_lisa_stats_data(0x01)_vpp,mV,1000,200,,
MP,three_get_lisa_stats_data(0x01)_max,mV,1000,200,,
